time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:39:35.284537,3.111,0.125,0.797,52.0,43.0,41.5
2026-04-29T21:39:35.792712,3.069,0.168,0.713,52.0,43.0,41.5
2026-04-29T21:39:36.312383,2.947,0.084,0.758,52.0,43.0,41.0
2026-04-29T21:39:36.827736,3.106,0.125,0.839,52.0,43.0,41.5
2026-04-29T21:39:37.349777,3.069,0.126,0.798,51.5,43.0,41.0
2026-04-29T21:39:37.858125,3.311,0.209,0.712,51.5,42.5,41.0
2026-04-29T21:39:38.369621,4.84,1.228,0.738,52.0,44.0,42.0
2026-04-29T21:39:38.878211,4.299,0.826,0.829,52.0,44.0,42.0
2026-04-29T21:39:39.401831,3.185,0.209,0.796,52.0,43.0,42.0
2026-04-29T21:39:39.912978,3.106,0.125,0.839,52.0,43.5,41.5
2026-04-29T21:39:40.425690,2.703,0.126,0.591,52.0,43.5,41.5
2026-04-29T21:39:40.936345,3.311,0.251,0.753,51.5,43.0,42.0
2026-04-29T21:39:41.450605,4.725,1.23,0.657,52.0,44.0,42.5
2026-04-29T21:39:41.958513,3.594,0.376,0.877,52.0,43.5,42.0
2026-04-29T21:39:42.473385,3.19,0.125,0.797,52.0,43.0,41.5
2026-04-29T21:39:42.986353,3.032,0.126,0.798,52.0,43.0,41.5
2026-04-29T21:39:43.501904,3.111,0.168,0.84,52.0,43.0,41.5
2026-04-29T21:39:44.013930,3.474,0.292,0.794,52.0,43.5,41.5
2026-04-29T21:39:44.527309,4.684,1.232,0.616,52.0,44.0,42.0
2026-04-29T21:39:45.036366,3.311,0.251,0.838,52.0,43.5,42.0
2026-04-29T21:39:45.547493,3.027,0.126,0.756,52.0,43.0,41.5
2026-04-29T21:39:46.055242,3.027,0.126,0.798,52.0,43.0,41.5
2026-04-29T21:39:46.569595,2.825,0.168,0.632,52.5,43.0,41.5
2026-04-29T21:39:47.078691,3.635,0.292,0.834,52.0,43.0,42.0
2026-04-29T21:39:47.595602,4.766,1.23,0.656,52.0,44.0,42.5
2026-04-29T21:39:48.109577,3.19,0.125,0.839,52.0,43.5,42.0
2026-04-29T21:39:48.634072,2.989,0.126,0.756,52.0,43.5,41.5
2026-04-29T21:39:49.144790,3.027,0.126,0.798,52.0,43.0,41.5
2026-04-29T21:39:49.653399,2.825,0.126,0.674,52.0,43.0,42.0
2026-04-29T21:39:50.162950,4.567,0.987,0.781,52.0,43.5,42.0
2026-04-29T21:39:50.678097,4.881,1.228,0.738,52.0,44.0,42.0
2026-04-29T21:39:51.186678,3.19,0.167,0.755,52.0,43.0,42.0
2026-04-29T21:39:51.703240,2.622,0.084,0.465,51.5,43.0,41.5
2026-04-29T21:39:52.211379,3.027,0.126,0.84,52.0,43.0,41.5
2026-04-29T21:39:52.720279,3.027,0.084,0.84,52.0,43.0,41.5
2026-04-29T21:39:53.229395,3.027,0.084,0.84,52.0,43.0,41.5
2026-04-29T21:39:53.741355,3.027,0.126,0.883,52.0,43.0,41.5
2026-04-29T21:39:54.262027,3.19,0.083,0.923,52.0,43.5,41.5
2026-04-29T21:39:54.773384,2.58,0.084,0.507,51.5,43.0,41.5
2026-04-29T21:39:55.281422,2.58,0.084,0.507,52.0,43.0,41.0
2026-04-29T21:39:55.789823,2.58,0.084,0.507,51.5,43.0,41.0
2026-04-29T21:39:56.298266,2.58,0.084,0.507,52.0,42.5,41.0
2026-04-29T21:39:56.806316,2.58,0.084,0.465,51.5,42.5,41.0
2026-04-29T21:39:57.315114,2.58,0.084,0.465,51.5,43.0,41.0
2026-04-29T21:39:57.823199,2.58,0.084,0.465,51.5,42.5,41.0
2026-04-29T21:39:58.331504,2.538,0.084,0.507,51.5,43.0,41.0
2026-04-29T21:39:58.839482,2.58,0.084,0.465,52.0,42.5,41.0
2026-04-29T21:39:59.356517,2.499,0.084,0.465,51.5,42.5,41.0
2026-04-29T21:39:59.864626,2.58,0.084,0.507,51.5,42.5,41.0
2026-04-29T21:40:00.373049,2.457,0.084,0.381,51.5,43.0,40.5
