time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:52:23.341235,3.833,0.291,1.414,52.0,44.5,43.0
2026-04-29T21:52:23.848015,5.372,0.407,2.767,53.0,45.5,43.5
2026-04-29T21:52:24.357336,5.413,0.447,2.682,53.0,45.5,43.5
2026-04-29T21:52:24.865872,5.896,2.177,1.653,52.5,45.5,43.5
2026-04-29T21:52:25.372821,7.742,2.693,2.888,53.5,47.5,45.0
2026-04-29T21:52:25.880349,5.454,0.284,3.007,53.5,46.0,44.0
2026-04-29T21:52:26.387329,3.032,0.21,0.798,52.5,43.5,43.5
2026-04-29T21:52:26.893783,5.267,0.285,2.731,53.0,45.5,43.5
2026-04-29T21:52:27.403049,5.527,0.325,2.966,53.5,46.0,43.5
2026-04-29T21:52:27.909936,4.028,0.249,1.578,53.0,45.0,44.0
2026-04-29T21:52:28.419102,2.867,0.21,0.674,52.5,44.0,43.0
2026-04-29T21:52:28.925507,2.952,0.21,0.758,52.5,43.5,43.0
2026-04-29T21:52:29.432390,2.867,0.21,0.716,52.5,43.0,43.0
2026-04-29T21:52:29.939046,3.069,0.21,0.84,52.5,43.5,42.5
2026-04-29T21:52:30.445437,2.91,0.21,0.715,52.5,43.5,42.5
2026-04-29T21:52:30.952427,3.074,0.21,0.84,52.0,43.5,43.0
2026-04-29T21:52:31.458785,2.91,0.21,0.715,52.5,43.5,42.5
2026-04-29T21:52:31.965691,2.905,0.21,0.758,52.5,44.0,42.5
2026-04-29T21:52:32.472755,2.867,0.21,0.674,52.0,44.0,42.5
2026-04-29T21:52:32.979357,2.867,0.21,0.715,52.0,43.5,42.5
2026-04-29T21:52:33.486278,2.91,0.21,0.716,52.0,43.5,43.0
2026-04-29T21:52:33.992640,2.952,0.21,0.758,52.0,43.5,42.5
2026-04-29T21:52:34.499645,2.989,0.21,0.758,52.0,43.5,42.5
2026-04-29T21:52:35.006161,2.989,0.21,0.758,52.5,43.5,42.5
2026-04-29T21:52:35.512768,2.91,0.21,0.758,52.0,44.0,43.0
2026-04-29T21:52:36.019803,2.952,0.21,0.715,52.0,43.5,42.5
2026-04-29T21:52:36.526198,2.867,0.21,0.715,52.0,43.0,43.0
2026-04-29T21:52:37.033233,2.989,0.21,0.758,52.0,43.5,43.0
2026-04-29T21:52:37.539658,2.867,0.21,0.674,52.0,43.5,42.5
2026-04-29T21:52:38.046368,2.91,0.21,0.758,52.0,43.5,43.0
2026-04-29T21:52:38.553171,2.91,0.21,0.716,52.5,43.5,43.0
2026-04-29T21:52:39.059565,2.867,0.21,0.715,52.0,43.5,42.5
2026-04-29T21:52:39.566752,2.91,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:40.073185,2.91,0.21,0.716,52.0,43.5,42.5
2026-04-29T21:52:40.580021,2.867,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:41.086823,2.91,0.21,0.716,52.0,43.0,42.5
2026-04-29T21:52:41.593293,2.867,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:42.100418,2.91,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:42.606794,2.91,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:43.113647,2.867,0.21,0.674,52.0,43.0,42.5
2026-04-29T21:52:43.620051,2.867,0.21,0.716,52.0,43.0,42.5
2026-04-29T21:52:44.126375,2.825,0.21,0.674,51.5,43.0,42.5
2026-04-29T21:52:44.633129,2.91,0.21,0.715,52.0,43.0,42.5
2026-04-29T21:52:45.139559,3.232,0.251,0.923,51.5,43.5,42.5
